Date,High,Low,Open,Close,Volume,tweets,google_trends,profitability
2018-04-07,7050.5400390625,6630.509765625,6630.509765625,6911.08984375,3976610048.0,52476.0,54.556999999999995,0.5429999999999999
2018-04-08,7111.56005859375,6919.97998046875,6919.97998046875,7023.52001953125,3652499968.0,52796.0,49.637,0.505
2018-04-09,7178.10986328125,6661.990234375,7044.31982421875,6770.72998046875,4894060032.0,59029.0,60.471000000000004,0.45399999999999996
2018-04-10,6872.41015625,6704.14990234375,6795.43994140625,6834.759765625,4272750080.0,59044.0,56.284,0.535
2018-04-11,6968.31982421875,6817.58984375,6843.47021484375,6968.31982421875,4641889792.0,61072.0,52.788000000000004,0.49200000000000005
2018-04-12,7899.22998046875,6806.509765625,6955.3798828125,7889.25,8906250240.0,68886.0,65.34899999999999,0.517
2018-04-13,8183.9599609375,7758.93017578125,7901.08984375,7895.9599609375,7764460032.0,64178.0,67.118,0.608
2018-04-14,8140.7099609375,7846.0,7874.669921875,7986.240234375,5191430144.0,50026.0,49.637,0.46
2018-04-15,8338.419921875,7999.330078125,7999.330078125,8329.1103515625,5244480000.0,52494.0,49.637,0.615
2018-04-16,8371.150390625,7925.72998046875,8337.5703125,8058.669921875,5631309824.0,56538.0,53.479,0.503
2018-04-17,8285.9599609375,7881.72021484375,8071.66015625,7902.08984375,6900879872.0,56111.0,51.019,0.568
2018-04-18,8197.7998046875,7886.009765625,7944.43017578125,8163.419921875,6529909760.0,56720.0,52.442,0.536
2018-04-19,8298.6904296875,8138.77978515625,8159.27001953125,8294.3095703125,7063209984.0,57013.0,54.169,0.579
2018-04-20,8880.23046875,8244.5400390625,8286.8798828125,8845.830078125,8438110208.0,57190.0,54.169,0.45899999999999996
2018-04-21,8997.5703125,8652.150390625,8848.7900390625,8895.580078125,7548550144.0,56176.0,51.751999999999995,0.649
2018-04-22,9001.6396484375,8779.6103515625,8925.0595703125,8802.4599609375,6629899776.0,59404.0,49.292,0.586
2018-04-23,8958.5498046875,8788.8095703125,8794.3896484375,8930.8798828125,6925190144.0,59885.0,53.824,0.5760000000000001
2018-04-24,9732.6103515625,8927.830078125,8934.33984375,9697.5,10678800384.0,67323.0,64.312,0.6559999999999999
2018-04-25,9745.3203125,8799.83984375,9701.0302734375,8845.740234375,11083100160.0,65523.0,59.78,0.544
2018-04-26,9281.509765625,8727.08984375,8867.3203125,9281.509765625,8970559488.0,64330.0,50.328,0.632
2018-04-27,9375.4697265625,8987.0498046875,9290.6298828125,8987.0498046875,7566289920.0,55754.0,49.292,0.65
2018-04-28,9412.08984375,8931.990234375,8939.26953125,9348.48046875,7805479936.0,49473.0,43.335,0.573
2018-04-29,9531.490234375,9193.7099609375,9346.41015625,9419.080078125,8853000192.0,46959.0,45.45,0.606
2018-04-30,9477.1396484375,9166.8095703125,9426.1103515625,9240.5498046875,8673920000.0,49151.0,46.832,0.62
2018-05-01,9255.8798828125,8891.0498046875,9251.4697265625,9119.009765625,7713019904.0,49777.0,46.972,0.5710000000000001
