,High,Low,Open,Close,Volume,tweets,Marketcap,google_trends,profitability,transaction_fee,change,fluction,price,Date
0,9937.5,8956.4296875,9602.9296875,9205.1201171875,6457399808.0,,155710928717.0,67.23100000000001,0.718,0.718,0,-0.00112,9194.849609375,2018-03-12
1,9470.3798828125,8958.1904296875,9173.0400390625,9194.849609375,5991139840.0,,155555594312.0,63.693000000000005,0.687,0.687,0,-0.1006,8269.8095703125,2018-03-13
2,9355.849609375,8068.58984375,9214.650390625,8269.8095703125,6438230016.0,,139920843550.0,77.847,0.662,0.662,1,0.00375,8300.8603515625,2018-03-14
3,8428.349609375,7783.0498046875,8290.759765625,8300.8603515625,6834429952.0,,140460819364.0,84.92399999999999,0.642,0.642,1,0.00452,8338.349609375,2018-03-15
4,8585.150390625,8005.31005859375,8322.91015625,8338.349609375,5289379840.0,,141111773179.0,70.77,0.675,0.675,0,-0.05055,7916.8798828125,2018-03-16
5,8346.5302734375,7812.81982421875,8321.91015625,7916.8798828125,4426149888.0,,133993486925.0,63.693000000000005,0.594,0.594,1,0.03875,8223.6796875,2018-03-17
6,8245.509765625,7397.990234375,7890.52001953125,8223.6796875,6639190016.0,,139201713268.0,74.308,0.596,0.596,1,0.04949,8630.650390625,2018-03-18
7,8675.8701171875,8182.39990234375,8344.1201171875,8630.650390625,6729110016.0,,146107514353.0,74.308,0.609,0.609,1,0.03277,8913.4697265625,2018-03-19
8,9051.01953125,8389.8896484375,8619.669921875,8913.4697265625,6361789952.0,,150909503835.0,67.23100000000001,0.58,0.58,1,0.00177,8929.2802734375,2018-03-20
9,9177.3701171875,8846.330078125,8937.48046875,8929.2802734375,6043129856.0,,151193917440.0,67.23100000000001,0.708,0.708,0,-0.02249,8728.4697265625,2018-03-21
10,9100.7099609375,8564.900390625,8939.4404296875,8728.4697265625,5530390016.0,,147809220250.0,63.693000000000005,0.6409999999999999,0.6409999999999999,1,0.01732,8879.6201171875,2018-03-22
11,8879.6201171875,8360.6201171875,8736.25,8879.6201171875,5954120192.0,,150383574951.0,56.61600000000001,0.635,0.635,0,-0.02382,8668.1201171875,2018-03-23
12,8996.1796875,8665.7001953125,8901.9501953125,8668.1201171875,5664600064.0,,146818882936.0,53.077,0.665,0.665,0,-0.01988,8495.7802734375,2018-03-24
13,8682.009765625,8449.099609375,8612.8095703125,8495.7802734375,4569880064.0,,143914265310.0,49.538999999999994,0.588,0.588,0,-0.03371,8209.400390625,2018-03-25
14,8530.080078125,7921.43017578125,8498.4697265625,8209.400390625,5921039872.0,,139078211968.0,70.77,0.628,0.628,0,-0.04585,7833.0400390625,2018-03-26
