,High,Low,Open,Close,Volume,tweets,Marketcap,google_trends,profitability,transaction_fee,change,fluction,price,Date
0,742.5139770507812,683.2680053710938,724.406005859375,699.8309936523438,1764999936.0,68688764839.3,,8.618,0.0575,0.0575,0,-0.01287,690.8270263671875,2018-03-12
1,713.7349853515625,682.3499755859375,698.1530151367188,690.8270263671875,1425959936.0,67819092120.8,,8.076,0.0557,0.0557,0,-0.11079,614.291015625,2018-03-13
2,702.7839965820312,594.0999755859375,691.218994140625,614.291015625,1810560000.0,60318025225.7,,9.086,0.0537,0.0537,0,-0.00486,611.3040161132812,2018-03-14
3,620.6160278320312,579.5050048828125,614.8389892578125,611.3040161132812,1770460032.0,60037233577.4,,9.18,0.0485,0.0485,0,-0.01577,601.666015625,2018-03-15
4,623.1680297851562,587.8619995117188,611.7780151367188,601.666015625,1417350016.0,59103031871.3,,7.841,0.0475,0.0475,0,-0.08125,552.7789916992189,2018-03-16
5,609.1510009765625,549.0960083007811,601.677978515625,552.7789916992189,1267810048.0,54312035488.8,,7.888,0.0455,0.0455,0,-0.02557,538.6439819335939,2018-03-17
6,551.6400146484375,460.0880126953125,551.6400146484375,538.6439819335939,2685499904.0,52934184182.0,,13.232000000000001,0.0398,0.0398,1,0.03357,556.7260131835939,2018-03-18
7,558.0999755859375,519.1229858398439,546.6259765625,556.7260131835939,2046790016.0,54722473140.3,,8.712,0.042,0.042,1,0.00081,557.1749877929689,2018-03-19
8,567.0900268554688,521.2039794921875,556.7219848632811,557.1749877929689,1833680000.0,54777982164.4,,8.524,0.0424,0.0424,1,0.00818,561.7319946289061,2018-03-20
9,589.6069946289062,550.572021484375,559.0999755859375,561.7319946289061,1781270016.0,55237391316.0,,8.029,0.0448,0.0448,0,-0.03922,539.7020263671875,2018-03-21
10,577.5659790039062,523.0889892578125,562.10302734375,539.7020263671875,1523459968.0,53082150649.3,,7.607,0.0436,0.0436,0,-0.00015,539.6190185546875,2018-03-22
11,540.4869995117189,512.1270141601561,539.864013671875,539.6190185546875,1596349952.0,53084905905.7,,7.205,0.040999999999999995,0.040999999999999995,0,-0.02442,526.4390258789061,2018-03-23
